コード,名称,市場,セクター,時価総額,発行株式数,株価,配当金,業種別PER,EPS,BPR
2204,中村屋,東証一部,食料品,30240,5976205,5060,85.00,27.0,210.69,4152.13
2206,江崎グリコ,東証一部,食料品,437409,69430069,6300,40.00,27.0,270.69,2993.84
2207,名糖産業,東証一部,食料品,25880,17265000,1499,20.00,27.0,53.27,2511.37
2208,ブルボン,東証二部,食料品,70358,27700000,2540,20.00,27.0,141.52,1727.13
2209,井村屋グループ,東証二部,食料品,25952,12822200,2024,22.00,27.0,83.78,927.72
2211,不二家,東証一部,食料品,65132,25784659,2526,10.00,27.0,58.19,1157.83
2212,山崎製パン,東証一部,食料品,469643,220282860,2132,18.00,27.0,89.77,1317.43
2215,第一屋製パン,東証一部,食料品,8448,6929900,1219,0.00,27.0,20.22,1369.06
2216,カンロ,東証二部,食料品,12061,3828901,3150,60.00,27.0,141.27,2759.47
2217,モロゾフ,東証一部,食料品,26932,3669226,7340,70.00,27.0,404.81,4146.15
2218,日糧製パン,札証,食料品,4566,2103948,2170,15.00,27.0,85.93,2145.81
2220,亀田製菓,東証一部,食料品,116503,22318650,5220,49.00,27.0,270.34,2135.49
2221,岩塚製菓,JQS,食料品,29975,5995000,5000,18.00,27.0,231.98,8544.52
2222,寿スピリッツ,東証一部,食料品,133667,31121520,4295,30.00,27.0,101.22,401.99
2224,コモ,JQS,食料品,8712,3630000,2400,7.00,27.0,34.53,327.01
2226,湖池屋,JQS,食料品,26568,5335000,4980,47.50,27.0,74.99,2274.65
2228,シベール,JQS,食料品,5249,1806800,2905,15.00,27.0,39.67,834.53
2229,カルビー,東証一部,食料品,550016,133823800,4110,46.00,27.0,142.16,934.75
2264,森永乳業,東証一部,食料品,222586,49795443,4470,50.00,27.0,282.97,2991.44
2266,六甲バター,東証一部,食料品,54038,21452125,2519,20.00,27.0,139.60,1161.79
2267,ヤクルト本社,東証一部,食料品,1602542,175910218,9110,34.00,27.0,184.44,2122.74
2268,B-Rサーティワンアイスクリーム,JQS,食料品,39157,9644554,4060,40.00,27.0,25.43,972.19
2269,明治ホールディングス,東証一部,食料品,1398580,152683400,9160,115.00,27.0,418.89,3077.85
2270,雪印メグミルク,東証一部,食料品,226052,70751855,3195,40.00,27.0,191.65,2130.35
2281,プリマハム,東証一部,食料品,188961,252621998,748,6.00,27.0,35.75,293.06
2282,日本ハム,東証一部,食料品,700963,213708115,3280,53.00,27.0,182.49,1913.63
2286,林兼産業,東証一部,食料品,8277,8910000,929,10.00,27.0,78.62,689.77
2288,丸大食品,東証一部,食料品,73288,132527909,553,8.00,27.0,25.11,583.88
2291,福留ハム,東証二部,食料品,7701,3400000,2265,15.00,27.0,89.89,1979.05
2292,S　Foods,東証一部,食料品,137783,32267721,4270,38.00,27.0,233.87,2372.32
2293,滝沢ハム,JQS,食料品,7483,2102000,3560,25.00,27.0,233.72,1791.37
2294,柿安本店,JQS,食料品,24869,12446700,1998,45.00,27.0,127.03,1268.16
2296,伊藤ハム米久ホールディングス,東証一部,食料品,316386,297355059,1064,17.00,27.0,55.51,705.62
2300,きょくとう,JQS,サービス,3608,5551230,650,11.00,25.0,49.23,740.29
2301,学情,東証一部,サービス,21271,15560000,1367,32.00,25.0,80.23,632.11
2303,ドーン,JQS,情報通信,4703,3560000,1321,4.50,23.8,32.70,378.90
2304,CSSホールディングス,JQS,サービス,2183,5285600,413,10.00,25.0,28.15,536.00
2305,スタジオアリス,東証一部,サービス,44872,17185650,2611,50.00,25.0,-,1166.60
2307,クロスキャット,JQS,情報通信,9229,9210960,1002,15.00,23.8,51.69,325.27
2309,シミックホールディングス,東証一部,サービス,29596,18923569,1564,19.00,25.0,64.16,1205.95
2311,エプコ,JQS,サービス,13862,4658000,2976,55.00,25.0,77.20,652.15
2315,カイカ,JQS,情報通信,20925,321923000,65,0.00,23.8,1.47,10.52
2317,システナ,東証一部,情報通信,76340,28180000,2709,42.00,23.8,123.45,597.17
2321,ソフトフロントホールディングス,JQG,情報通信,4212,22284520,189,0.00,23.8,-,47.50
2323,fonfun,JQS,情報通信,1161,2866720,405,0.00,23.8,3.90,116.55
2325,NJS,東証一部,サービス,14278,10048000,1421,40.00,25.0,56.42,1728.38
2326,デジタルアーツ,東証一部,情報通信,67697,14133000,4790,28.00,23.8,89.60,383.71
2327,新日鉄住金ソリューションズ,東証一部,情報通信,256921,99504740,2582,50.00,23.8,158.41,1290.26
2329,東北新社,JQS,情報通信,35519,46735334,760,16.00,23.8,64.46,1573.84
2330,フォーサイド,JQS,情報通信,8083,27775204,291,-,23.8,1.60,48.47
2331,綜合警備保障,東証一部,サービス,543873,102040042,5330,60.00,25.0,213.91,1987.61
2332,クエスト,JQS,情報通信,4868,5487768,887,30.00,23.8,53.21,766.18
2335,キューブシステム,東証一部,情報通信,12270,15279840,803,16.00,23.8,46.52,337.25
2337,いちご,東証一部,サービス,195977,503797700,389,6.00,25.0,26.98,170.57
